runtime,instance,async,image,sql,setting,load,entity_count,start_time,stop_time,time,success_line,statistics,group,note
1743104437,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743104471,1743104495,24,5006,{},5
1743149573,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743149601,1743149620,19,5006,{},10,
1743149727,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743149754,1743149774,20,5006,{},10,
1743150328,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743150358,1743150377,19,5007,{},10,
1743150407,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743150438,1743150455,17,5007,{},10,
1743150487,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743150519,1743150532,13,5007,{},25,
1743150579,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743150609,1743150626,17,5007,{},25,
1743150851,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743150883,1743150896,13,5007,{},50,
1743150983,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743151014,1743151027,13,5007,{},50,
1743151546,1,60,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743151578,1743151595,17,5007,{},50,
1743151848,1,1,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743151882,1743151933,51,5007,{},50,
1743151952,1,1,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743151982,1743152035,53,5007,{},50,
1743152067,1,1,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743152099,1743152152,53,5007,{},50,
1743152174,1,5,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743152205,1743152223,18,5007,{},50,
1743152236,1,10,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743152266,1743152282,16,5007,{},50,
1743152313,1,5,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743152343,1743152360,17,5007,{},50,
# Upgrading up through the MW versions
1743152373,1,10,wikibase/wikibase:1.39.1-wmde.11,mariadb:11.7,wbOwnIdConnection,wbfastimport-FullishItems,5000,1743152403,1743152416,13,5007,{},50,
